H_INIT,V_INIT,TARGET,Kp,Ki,Kd,error
2000.0,480.2,7200.0,0.16922681257544292,8.313816225696175e-05,1.9744360067004437e-05,0.005847257571076625
2000.0,548.8,5800.0,0.5712288077976387,1.1099544966970724e-05,5.11892953638906e-06,0.002715299485316791
2000.0,548.8,7200.0,0.7080993541752734,5.1356737786671343e-05,5.782077351048131e-06,0.0028953294904567883
2000.0,548.8,8600.0,0.028865141256097546,0.00027321348726350007,7.452164408904382e-05,30.27694270189022
2000.0,617.4,5800.0,0.9955092620343974,5.532605564367511e-06,2.875022545210626e-05,0.0009226578349625925
2000.0,617.4,7200.0,0.9559741251193873,2.4396302034819374e-05,7.502058519027523e-06,3.59027962986147e-05
2000.0,617.4,8600.0,0.3124371360702454,3.909138581489018e-06,0.04440240311745875,9.344243153464049e-06
2000.0,686.0,5800.0,0.9977365980384776,2.238365333961129e-05,1.7456373358090186e-06,0.009258568777113396
2000.0,686.0,7200.0,0.7327190597890759,1.581187967984424e-06,0.0014457023267609426,0.0012542847171062022
2000.0,686.0,8600.0,0.1449540090140799,1.1922680361556541e-05,1.6311460951251324e-06,2.3802549549145624e-06
2000.0,686.0,10000.0,0.14376816971365583,6.946834857099971e-05,1.809339525122944e-05,0.0037925175656710053
2500.0,343.0,5800.0,0.48560321504874204,9.582276105760225e-05,0.00010702854135997964,0.0016669881315465318
2500.0,411.6,5800.0,0.609152164687713,2.6533488015200928e-05,0.0005858611333442285,0.0038166734857441043
2500.0,411.6,7200.0,0.2984973346165298,0.0006033627763988088,1.692127478292337e-05,0.0001756666551955277
2500.0,480.2,5800.0,0.8989203661882287,1.3423454479389628e-05,0.0005738990010403177,0.00890621177313733
2500.0,480.2,7200.0,0.9638593374180041,1.3240040014020165e-05,1.6764484171472858e-06,0.0007853043034629081
2500.0,548.8,5800.0,0.7522990425641575,0.00041388860902278945,0.0005393162608035788,0.1231438791137407
2500.0,548.8,7200.0,0.9875485004573085,1.5344154130484943e-05,9.193026476268615e-05,0.0069109597643546294
2500.0,548.8,8600.0,0.5934410127645039,0.00011414011841823183,0.0037287633672774996,0.004293921390853939
2500.0,617.4,7200.0,0.34429953180158185,6.0475598195868434e-06,4.7712099804725736e-05,0.011721701346687041
2500.0,617.4,8600.0,0.3726766124788957,1.4571751944052685e-05,1.6315981933731886e-06,0.0011775933962780982
2500.0,617.4,10000.0,0.18916860146471967,0.0001849570251643977,2.61537206722937e-06,0.0017066618402168388
2500.0,686.0,7200.0,0.6622763135854013,1.0760803238448502e-06,0.0913599609138797,0.002456758450534835
2500.0,686.0,8600.0,0.4289134039681575,6.605455246258841e-06,0.6799088791362893,0.005414060915427399
2500.0,686.0,10000.0,0.11059164903398651,2.215167442632218e-06,0.020693362033979316,0.0016504666782566346
